_id,baujahr,baujahrZusatz,bezirk,denkmalnummer,feedsEntityId,feedsFlatstoreEntryId,kurzbezeichnung,lat,lon,nummer,ort,plz,strasse,timestamp,unterSchutz,untergruppe1,untergruppe2
,1905,um,8,584,1187,593,Friedhof,0.0,0.0,293-297,Höhenberg,51103,"Frankfurter Strasse",1432648734,01.07.1980,,0
,1876,,8,586,1187,595,"Grünanlage u. Rest Verteidigungsanlage /Zwischenwerk Ixb",0.0,0.0,o.Nr.,Humboldt-Gremberg,51105,"Gremberger Ring",1432648734,01.07.1980,,0
,1898,,8,587,1187,596,"waldartige Parkanlage",0.0,0.0,o.Nr.,Humboldt-Gremberg,51105,"Gremberger Wäldchen ",1432648734,01.07.1980,,0
,1879,,8,592,1187,601,"Hofanlage Gremberger Hof",0.0,0.0,2,Humboldt-Gremberg,51107,"Im Gremberg",1432648734,01.07.1980,,0
,1912,um,8,593,1187,602,"Parkanlage (Kalker Stadtgarten) mit Eingangsgebäude",0.0,0.0,212-214,Kalk,51103,"Kalker Hauptstrasse",1432648734,01.07.1980,,0
,19,,8,594,1187,603,KD-Bildstock,0.0,0.0,o.Nr.,Kalk,51103,"Kalk-Mülheimer-Strasse / Ecke Bertramstrasse",1432648734,01.07.1980,,0
,1757,,8,595,1187,604,KD-Wegekreuz,0.0,0.0,o.Nr.,Kalk,51103,"Kalk-Mülheimer-Strasse / Ecke Wipperfürther Strasse",1432648734,01.07.1980,,0
,1928,um,8,598,1187,607,"Grünanlage mit Kleindenkmal",0.0,0.0,o.Nr.,Höhenberg,51103,"Kösener Weg ",1432648734,01.07.1980,,0
,19,,8,601,1187,610,KD-Bildstock,0.0,0.0,o.Nr.,Brück,0,"Kreuzchensweg / Im Bruchfeld ",1432648734,01.07.1980,,0
,1923,,8,603,1187,612,"Merheimer Heide - Park- u. Sportanlage",0.0,0.0,o.Nr.,Höhenberg,51103,"Merheimer Heideweg ",1432648734,01.07.1980,,0
,1876,,8,604,1187,613,"Begrünung d.ehem. Festungsanlage Fort X",0.0,0.0,o.Nr.,Merheim,51065,"Nohlenweg / Frankfurter Strasse",1432648734,01.07.1980,,0
,1889,,8,605,1187,614,KD-Bildstock,0.0,0.0,o.Nr.,Brück,51103,"Olpener Strasse / Hoffnungsthaler Strasse",1432648734,01.07.1980,,0
,1864,,8,609,1187,618,KD-Wegekreuz,0.0,0.0,o.Nr.,Merheim,51109,"Ostmerheimer Strasse / Eggerbachstrasse",1432648734,01.07.1980,,0
,1830,um,8,610,1187,619,KD-Bildstock,0.0,0.0,o.Nr.,Merheim,51109,"Ostmerheimer Strasse / Fußfallstrasse",1432648734,01.07.1980,,0
,1914,,8,611,1187,620,KD-Kriegerdenkmal,0.0,0.0,o.Nr.,Merheim,51109,"Ostmerheimer Strasse / Rüdigerstrasse",1432648734,01.07.1980,,0
,1764,,8,612,1187,621,KD-Wegekreuz,0.0,0.0,o.Nr.,Merheim,51109,"Ostmerheimer Strasse / Rüdigerstrasse",1432648734,01.07.1980,,0
,1880,um,8,613,1187,622,Schule,0.0,0.0,16-18,Rath-Heumar,51107,"Rather Schulstrasse",1432648734,01.07.1980,,0
,19,,8,615,1187,624,KD-Bildstock,0.0,0.0,o.Nr.,Rath-Heumar,51107,"Rösrather Strasse / Rather Steinweg",1432648734,01.07.1980,,0
